rank,plant_id,plant_name,state,latitude,longitude,capacity_mw,quality_tier,composite_score,pearson_r,pearson_p,r_squared,spearman_rho,annual_pearson_r,mean_performance_ratio,cv_performance_ratio,n_monthly_points,n_years,year_min,year_max,total_generation_gwh,mean_monthly_gen_mwh,spearman_p,regression_slope,regression_intercept,regression_stderr,annual_pearson_p,std_performance_ratio,annual_cf_trend
283,57522,Cantua Solar Station,CA,36.425085,-120.343543,20.0,Tier 2 (Good),0.7926596968909483,0.8088229329327618,3.5337042651833366e-36,0.6541945368379548,0.8207319623562217,0.7378161418350012,1.0680637772716464,0.2924576378706771,151,13,2012,2024,508.82507,3369.702450331126,4.713306745108088e-38,0.0006848005094215397,53.47074999603706,4.078809377334006e-05,0.003989557869493963,0.31236340939609863,-0.0020322783381002563
284,59113,Yanceyville Farm 2 LLC,NC,36.413889,-79.316944,5.0,Tier 2 (Good),0.7925819472823808,0.8425885129560409,1.0845578087241616e-32,0.7099554021654723,0.8443212258643449,0.7183578800518935,1.136991702925359,0.23655945749949947,117,10,2015,2024,86.093,735.8376068376068,6.045745275408883e-33,0.0006409944234636072,58.820350219910736,3.8205174488283974e-05,0.01927193657550784,0.26896614042545497,0.0034032018818320187
285,58036,Riverside Renewable Energy LLC,NJ,39.903056,-75.125833,7.5,Tier 1 (Excellent),0.791742176813944,0.9401805490035327,6.5254501384565645e-74,0.8839394647245841,0.9410662072671524,0.29941162221537915,0.958274800905988,0.19092275350642085,156,13,2012,2024,131.43502,842.5321794871796,2.1412167345857094e-74,0.0006429741774067558,32.26229170296938,1.877431903723515e-05,0.3203120266492411,0.18295646360478848,0.000985998628464382
286,58228,Milford Solar Farm,DE,38.923056,-75.453333,11.8,Tier 3 (Acceptable),0.7888014629848198,0.7296696938168374,2.252344960058445e-25,0.5324178620747573,0.7597425602267359,0.9589267397637039,1.1341410213370706,0.3346694120666989,145,13,2012,2024,231.05307000000002,1593.469448275862,1.6169137300071013e-28,0.000519286766316914,66.9375841424839,4.06950778734955e-05,2.3302052345421967e-07,0.37956230881160286,0.003564500374635041
287,59630,CentraState Medical Center PV Facility,NJ,40.236111,-74.321389,5.2,Tier 2 (Good),0.7885444079963936,0.8014378030947655,6.945706755328718e-28,0.6423025522293642,0.83290841760433,0.7970374613422864,0.9696640763130925,0.31353222364169275,123,11,2014,2024,70.66107000000001,574.480243902439,7.608558743852729e-32,0.0006929057228786027,28.38734870304917,4.780455879170603e-05,0.0033080041107010952,0.30402093403191194,-0.00032711267043458877
288,59618,Meadow Lake Solar Energy Center,NM,34.81,-106.52,9.1,Tier 2 (Good),0.7883304823962051,0.8208981218532407,1.7330722734981e-30,0.673873726462178,0.818751302173762,0.7605223581255868,1.3578598402796453,0.22550165071627656,120,10,2015,2024,240.15407000000002,2001.2839166666668,3.2734771342329524e-30,0.0008723912712216134,72.60882511027421,5.5869391322141707e-05,0.010652653146774563,0.30619963542439965,0.0011099729798359924
289,59374,Old Mill Solar,OR,42.203333,-121.046389,5.0,Tier 2 (Good),0.7872323797651184,0.8134351471416912,1.0727428256646829e-26,0.6616767386054248,0.8093210247030018,0.8315986023709949,1.1938410499219023,0.32992271173024057,109,10,2015,2024,87.09407,799.0281651376148,3.036868305825249e-26,0.0007960116033578284,44.43797554631577,5.528527339101058e-05,0.0028561875016755315,0.3938752765651115,0.004849598726995988
290,59857,"SoINCPower5, LLC",NC,36.052801,-77.762458,5.0,Tier 2 (Good),0.786145323004224,0.8365989138388008,1.4215916457700332e-31,0.6998977426362613,0.835167031868681,0.70136605825677,1.2502216001845998,0.22467527223053152,116,10,2015,2024,96.21602,829.4484482758621,2.239620669363963e-31,0.0008086320785070021,53.05800727084397,4.959248548338017e-05,0.023812174647874617,0.2808938783699657,0.00204290300262903
291,58915,Copper Mountain Solar 3,NV,35.889419,-114.957912,255.0,Below Threshold,0.783170120791343,0.6694490846163638,5.6914020921624395e-18,0.44816207689368737,0.8341878776780809,0.9951253265107601,1.1789622230870351,0.2380548722630421,128,11,2014,2024,6237.225,48728.3203125,2.2958561842845828e-34,0.0005569754645254991,94.56621176495203,5.506035548818258e-05,2.2915821055275274e-10,0.2806577014199363,0.009371617056951467
292,59449,Decatur County Solar Project,GA,30.965,-84.626111,20.0,Tier 3 (Acceptable),0.7804874743232488,0.7104371811419443,5.074012847544767e-18,0.5047209883489118,0.8066814938374572,0.9972155968410252,1.2146149569953892,0.31133482935892065,109,10,2015,2024,383.51701,3518.5046788990826,3.437256841175732e-26,0.0008650608516747874,47.319859279727524,8.284266269902428e-05,2.620925560407387e-10,0.37815194037295224,0.011772066901895667
293,59414,Atwell Island West Solar,CA,35.815,-119.459722,20.0,Tier 2 (Good),0.7793740590090867,0.8587929019475752,6.688267934201493e-35,0.7375252484355375,0.8516796441788005,0.5992572585031786,1.2806055773369578,0.20997148973005847,116,10,2015,2024,478.33402,4123.569137931035,8.92379142675349e-34,0.0009064654653874097,52.73680437432398,5.064705038058487e-05,0.06711480786757236,0.26889066083006263,-0.0023809346893593456
294,58848,Warsaw Farm,NC,35.005556,-78.125833,65.0,Tier 3 (Acceptable),0.7781458580693678,0.7366393525487802,3.3667351416101654e-19,0.542637535723486,0.8312430832577244,0.8608350439198118,1.0775469928517039,0.21592175052318238,109,10,2015,2024,974.96605,8944.642660550458,5.108561591409593e-28,0.0006446730746793851,53.195077223027624,5.83171462002888e-05,0.001382496041548231,0.232665832967531,0.013281433619652795
